HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:12107	TRAV12-3	T cell receptor alpha variable 12-3	Approved	T cell receptor gene		TRAV123, TCRAV2S2, TCRAV12S3	14q11.2	28672	ENSG00000211794	OTTHUMG00000170640	371	T cell receptor alpha locus at 14q11.2
HGNC:12108	TRAV13-1	T cell receptor alpha variable 13-1	Approved	T cell receptor gene			14q11.2	28671	ENSG00000211788	OTTHUMG00000168993	371	T cell receptor alpha locus at 14q11.2
HGNC:12109	TRAV13-2	T cell receptor alpha variable 13-2	Approved	T cell receptor gene			14q11.2	28670	ENSG00000211791	OTTHUMG00000168997	371	T cell receptor alpha locus at 14q11.2
HGNC:12110	TRAV14DV4	T cell receptor alpha variable 14/delta variable 4	Approved	T cell receptor gene		TRAV14/DV4, TCRAV6S1-hDV104S1, hADV14S1	14q11.2	28669	ENSG00000211792	OTTHUMG00000168998	371	T cell receptor alpha locus at 14q11.2
HGNC:12111	TRAV15	T cell receptor alpha variable 15 (pseudogene)	Approved	T cell receptor pseudogene		TCRAV15S1	14q11.2	28668	ENSG00000258482	OTTHUMG00000170638	371	T cell receptor alpha locus at 14q11.2
HGNC:12112	TRAV16	T cell receptor alpha variable 16	Approved	T cell receptor gene		TCRAV16S1, TCRAV9S1	14q11.2	28667	ENSG00000211796	OTTHUMG00000170642	371	T cell receptor alpha locus at 14q11.2
HGNC:12113	TRAV17	T cell receptor alpha variable 17	Approved	T cell receptor gene		TCRAV17S1, TCRAV3S1	14q11.2	28666	ENSG00000211797	OTTHUMG00000170643	371	T cell receptor alpha locus at 14q11.2
HGNC:12102	TRAV1-2	T cell receptor alpha variable 1-2	Approved	T cell receptor gene			14q11.2	28692	ENSG00000256553	OTTHUMG00000168978	371	T cell receptor alpha locus at 14q11.2
HGNC:12114	TRAV18	T cell receptor alpha variable 18	Approved	T cell receptor gene		TCRAV18S1	14q11.2	28665	ENSG00000211798	OTTHUMG00000170644	371	T cell receptor alpha locus at 14q11.2
HGNC:12115	TRAV19	T cell receptor alpha variable 19	Approved	T cell receptor gene		TCRAV12S1, TCRAV19S1	14q11.2	28664	ENSG00000211799	OTTHUMG00000170645	371	T cell receptor alpha locus at 14q11.2
HGNC:12117	TRAV20	T cell receptor alpha variable 20	Approved	T cell receptor gene			14q11.2	28663	ENSG00000211800	OTTHUMG00000170647	371	T cell receptor alpha locus at 14q11.2
HGNC:12118	TRAV21	T cell receptor alpha variable 21	Approved	T cell receptor gene			14q11.2	28662	ENSG00000211801	OTTHUMG00000170648	371	T cell receptor alpha locus at 14q11.2
HGNC:12119	TRAV22	T cell receptor alpha variable 22	Approved	T cell receptor gene		TCRAV13S1, TCRAV22S1	14q11.2	28661	ENSG00000211802	OTTHUMG00000170649	371	T cell receptor alpha locus at 14q11.2
HGNC:12120	TRAV23DV6	T cell receptor alpha variable 23/delta variable 6	Approved	T cell receptor gene		TRAV23/DV6, TCRAV17S1	14q11.2	28660	ENSG00000211803	OTTHUMG00000170650	371	T cell receptor alpha locus at 14q11.2
HGNC:12121	TRAV24	T cell receptor alpha variable 24	Approved	T cell receptor gene			14q11.2	28659	ENSG00000211805	OTTHUMG00000170652	371	T cell receptor alpha locus at 14q11.2
HGNC:12122	TRAV25	T cell receptor alpha variable 25	Approved	T cell receptor gene		TCRAV25S1, TCRAV32S1	14q11.2	28658	ENSG00000211806	OTTHUMG00000170653	371	T cell receptor alpha locus at 14q11.2
HGNC:12123	TRAV26-1	T cell receptor alpha variable 26-1	Approved	T cell receptor gene			14q11.2	28657	ENSG00000211807	OTTHUMG00000170654	371	T cell receptor alpha locus at 14q11.2
HGNC:12124	TRAV26-2	T cell receptor alpha variable 26-2	Approved	T cell receptor gene		TRAV262, TCRAV4S1, TCRAV26S2	14q11.2	28656	ENSG00000211812	OTTHUMG00000170663	371	T cell receptor alpha locus at 14q11.2
HGNC:12116	TRAV2	T cell receptor alpha variable 2	Approved	T cell receptor gene			14q11.2	28691	ENSG00000211776	OTTHUMG00000168980	371	T cell receptor alpha locus at 14q11.2
HGNC:12125	TRAV27	T cell receptor alpha variable 27	Approved	T cell receptor gene			14q11.2	28655	ENSG00000211809	OTTHUMG00000170656	371	T cell receptor alpha locus at 14q11.2
HGNC:12126	TRAV28	T cell receptor alpha variable 28 (pseudogene)	Approved	T cell receptor pseudogene			14q11.2	28654	ENSG00000258835	OTTHUMG00000170657	371	T cell receptor alpha locus at 14q11.2
HGNC:12127	TRAV29DV5	T cell receptor alpha variable 29/delta variable 5 (gene/pseudogene)	Approved	T cell receptor gene		TRAV29/DV5	14q11.2	28653	ENSG00000211810	OTTHUMG00000170658	371	T cell receptor alpha locus at 14q11.2
HGNC:12129	TRAV30	T cell receptor alpha variable 30	Approved	T cell receptor gene			14q11.2	28652	ENSG00000259092	OTTHUMG00000170659	371	T cell receptor alpha locus at 14q11.2
HGNC:12130	TRAV31	T cell receptor alpha variable 31 (pseudogene)	Approved	T cell receptor pseudogene		TCRAV31S1	14q11.2	28651	ENSG00000249048	OTTHUMG00000170660	371	T cell receptor alpha locus at 14q11.2
HGNC:12131	TRAV32	T cell receptor alpha variable 32 (pseudogene)	Approved	T cell receptor pseudogene			14q11.2	28650	ENSG00000258905	OTTHUMG00000170661	371	T cell receptor alpha locus at 14q11.2
HGNC:12132	TRAV33	T cell receptor alpha variable 33 (pseudogene)	Approved	T cell receptor pseudogene		C14orf12	14q11.2	28649	ENSG00000258812	OTTHUMG00000170662	371	T cell receptor alpha locus at 14q11.2
HGNC:12133	TRAV34	T cell receptor alpha variable 34	Approved	T cell receptor gene		TCRAV26S1, TCRAV34S1	14q11.2	28648	ENSG00000211813	OTTHUMG00000170664	371	T cell receptor alpha locus at 14q11.2
HGNC:12134	TRAV35	T cell receptor alpha variable 35	Approved	T cell receptor gene		TCRAV25S1, TCRAV35S1	14q11.2	28647	ENSG00000211814	OTTHUMG00000170665	371	T cell receptor alpha locus at 14q11.2
HGNC:12135	TRAV36DV7	T cell receptor alpha variable 36/delta variable 7	Approved	T cell receptor gene		TRAV36/DV7	14q11.2	28646	ENSG00000211815	OTTHUMG00000170666	371	T cell receptor alpha locus at 14q11.2
HGNC:12128	TRAV3	T cell receptor alpha variable 3 (gene/pseudogene)	Approved	T cell receptor gene			14q11.2	28690	ENSG00000211777	OTTHUMG00000168981	371	T cell receptor alpha locus at 14q11.2
HGNC:12136	TRAV37	T cell receptor alpha variable 37 (pseudogene)	Approved	T cell receptor pseudogene			14q11.2	28645	ENSG00000259068	OTTHUMG00000170836	371	T cell receptor alpha locus at 14q11.2
HGNC:12137	TRAV38-1	T cell receptor alpha variable 38-1	Approved	T cell receptor gene		TRAV381, TCRAV14S2, TCRAV38S1	14q11.2	28644	ENSG00000211816	OTTHUMG00000170837	371	T cell receptor alpha locus at 14q11.2
HGNC:12138	TRAV38-2DV8	T cell receptor alpha variable 38-2/delta variable 8	Approved	T cell receptor gene		TRAV38-2/DV8, TRAV382DV8, TCRAV14S1, hADV38S2	14q11.2	28643	ENSG00000211817	OTTHUMG00000170838	371	T cell receptor alpha locus at 14q11.2
HGNC:12139	TRAV39	T cell receptor alpha variable 39	Approved	T cell receptor gene		TCRAV27S1, TCRAV39S1	14q11.2	28642	ENSG00000211818	OTTHUMG00000170839	371	T cell receptor alpha locus at 14q11.2
HGNC:12141	TRAV40	T cell receptor alpha variable 40	Approved	T cell receptor gene		TCRAV31S1, TCRAV40S1	14q11.2	28641	ENSG00000211819	OTTHUMG00000170840	371	T cell receptor alpha locus at 14q11.2
HGNC:12142	TRAV41	T cell receptor alpha variable 41	Approved	T cell receptor gene		TCRAV19S1, TCRAV41S1	14q11.2	28640	ENSG00000211820	OTTHUMG00000170841	371	T cell receptor alpha locus at 14q11.2
HGNC:12037	TRAJ1	T cell receptor alpha joining 1 (non-functional)	Approved	T cell receptor gene			14q11.2	28754	ENSG00000211888	OTTHUMG00000170966	371	T cell receptor alpha locus at 14q11.2
HGNC:12048	TRAJ2	T cell receptor alpha joining 2 (non-functional)	Approved	T cell receptor gene			14q11.2	28753	ENSG00000211887	OTTHUMG00000170965	371	T cell receptor alpha locus at 14q11.2
HGNC:12059	TRAJ3	T cell receptor alpha joining 3	Approved	T cell receptor gene			14q11.2	28752	ENSG00000211886	OTTHUMG00000170964	371	T cell receptor alpha locus at 14q11.2
HGNC:12070	TRAJ4	T cell receptor alpha joining 4	Approved	T cell receptor gene			14q11.2	28751	ENSG00000211885	OTTHUMG00000170963	371	T cell receptor alpha locus at 14q11.2
HGNC:12140	TRAV4	T cell receptor alpha variable 4	Approved	T cell receptor gene		TCRAV20S1, TCRAV4S1	14q11.2	28689	ENSG00000211778	OTTHUMG00000168982	371	T cell receptor alpha locus at 14q11.2
HGNC:12081	TRAJ5	T cell receptor alpha joining 5	Approved	T cell receptor gene			14q11.2	28750	ENSG00000211884	OTTHUMG00000170962	371	T cell receptor alpha locus at 14q11.2
HGNC:12092	TRAJ6	T cell receptor alpha joining 6	Approved	T cell receptor gene			14q11.2	28749	ENSG00000211883	OTTHUMG00000170961	371	T cell receptor alpha locus at 14q11.2
HGNC:12095	TRAJ7	T cell receptor alpha joining 7	Approved	T cell receptor gene			14q11.2	28748	ENSG00000211882	OTTHUMG00000170960	371	T cell receptor alpha locus at 14q11.2
HGNC:12096	TRAJ8	T cell receptor alpha joining 8	Approved	T cell receptor gene			14q11.2	28747	ENSG00000211881	OTTHUMG00000170959	371	T cell receptor alpha locus at 14q11.2
HGNC:12097	TRAJ9	T cell receptor alpha joining 9	Approved	T cell receptor gene			14q11.2	28746	ENSG00000211880	OTTHUMG00000170958	371	T cell receptor alpha locus at 14q11.2
HGNC:12038	TRAJ10	T cell receptor alpha joining 10	Approved	T cell receptor gene			14q11.2	28745	ENSG00000211879	OTTHUMG00000170957	371	T cell receptor alpha locus at 14q11.2
HGNC:12039	TRAJ11	T cell receptor alpha joining 11	Approved	T cell receptor gene			14q11.2	28744	ENSG00000211878	OTTHUMG00000170956	371	T cell receptor alpha locus at 14q11.2
HGNC:12040	TRAJ12	T cell receptor alpha joining 12	Approved	T cell receptor gene			14q11.2	28743	ENSG00000211877	OTTHUMG00000170955	371	T cell receptor alpha locus at 14q11.2
HGNC:12041	TRAJ13	T cell receptor alpha joining 13	Approved	T cell receptor gene			14q11.2	28742	ENSG00000211876	OTTHUMG00000170954	371	T cell receptor alpha locus at 14q11.2
HGNC:12042	TRAJ14	T cell receptor alpha joining 14	Approved	T cell receptor gene			14q11.2	28741	ENSG00000211875	OTTHUMG00000170953	371	T cell receptor alpha locus at 14q11.2
HGNC:12143	TRAV5	T cell receptor alpha variable 5	Approved	T cell receptor gene			14q11.2	28688	ENSG00000211779	OTTHUMG00000168983	371	T cell receptor alpha locus at 14q11.2
HGNC:12043	TRAJ15	T cell receptor alpha joining 15	Approved	T cell receptor gene			14q11.2	28740			371	T cell receptor alpha locus at 14q11.2
HGNC:12044	TRAJ16	T cell receptor alpha joining 16	Approved	T cell receptor gene			14q11.2	28739	ENSG00000211873	OTTHUMG00000170951	371	T cell receptor alpha locus at 14q11.2
HGNC:12045	TRAJ17	T cell receptor alpha joining 17	Approved	T cell receptor gene			14q11.2	28738	ENSG00000211872	OTTHUMG00000170950	371	T cell receptor alpha locus at 14q11.2
HGNC:12046	TRAJ18	T cell receptor alpha joining 18	Approved	T cell receptor gene			14q11.2	28737	ENSG00000211871	OTTHUMG00000170949	371	T cell receptor alpha locus at 14q11.2
HGNC:12047	TRAJ19	T cell receptor alpha joining 19 (non-functional)	Approved	T cell receptor gene			14q11.2	28736	ENSG00000211870	OTTHUMG00000170948	371	T cell receptor alpha locus at 14q11.2
HGNC:12049	TRAJ20	T cell receptor alpha joining 20	Approved	T cell receptor gene			14q11.2	28735	ENSG00000211869	OTTHUMG00000170947	371	T cell receptor alpha locus at 14q11.2
HGNC:12050	TRAJ21	T cell receptor alpha joining 21	Approved	T cell receptor gene			14q11.2	28734	ENSG00000211868	OTTHUMG00000170946	371	T cell receptor alpha locus at 14q11.2
HGNC:12051	TRAJ22	T cell receptor alpha joining 22	Approved	T cell receptor gene			14q11.2	28733	ENSG00000211867	OTTHUMG00000170945	371	T cell receptor alpha locus at 14q11.2
HGNC:12052	TRAJ23	T cell receptor alpha joining 23	Approved	T cell receptor gene			14q11.2	28732	ENSG00000211866	OTTHUMG00000170944	371	T cell receptor alpha locus at 14q11.2
HGNC:12053	TRAJ24	T cell receptor alpha joining 24	Approved	T cell receptor gene			14q11.2	28731	ENSG00000211865	OTTHUMG00000170943	371	T cell receptor alpha locus at 14q11.2
HGNC:12144	TRAV6	T cell receptor alpha variable 6	Approved	T cell receptor gene	TCRAV5S1		14q11.2	6956	ENSG00000211780	OTTHUMG00000168984	371	T cell receptor alpha locus at 14q11.2
HGNC:12054	TRAJ25	T cell receptor alpha joining 25 (non-functional)	Approved	T cell receptor gene			14q11.2	28730	ENSG00000211864	OTTHUMG00000170942	371	T cell receptor alpha locus at 14q11.2
HGNC:12055	TRAJ26	T cell receptor alpha joining 26	Approved	T cell receptor gene			14q11.2	28729	ENSG00000211863	OTTHUMG00000170941	371	T cell receptor alpha locus at 14q11.2
HGNC:12056	TRAJ27	T cell receptor alpha joining 27	Approved	T cell receptor gene			14q11.2	28728	ENSG00000211862	OTTHUMG00000170940	371	T cell receptor alpha locus at 14q11.2
HGNC:12057	TRAJ28	T cell receptor alpha joining 28	Approved	T cell receptor gene			14q11.2	28727	ENSG00000211861	OTTHUMG00000170939	371	T cell receptor alpha locus at 14q11.2
HGNC:12058	TRAJ29	T cell receptor alpha joining 29	Approved	T cell receptor gene			14q11.2	28726	ENSG00000211860	OTTHUMG00000170938	371	T cell receptor alpha locus at 14q11.2
HGNC:12060	TRAJ30	T cell receptor alpha joining 30	Approved	T cell receptor gene			14q11.2	28725	ENSG00000211859	OTTHUMG00000170937	371	T cell receptor alpha locus at 14q11.2
HGNC:12061	TRAJ31	T cell receptor alpha joining 31	Approved	T cell receptor gene			14q11.2	28724	ENSG00000211858	OTTHUMG00000170936	371	T cell receptor alpha locus at 14q11.2
HGNC:12062	TRAJ32	T cell receptor alpha joining 32	Approved	T cell receptor gene			14q11.2	28723	ENSG00000211857	OTTHUMG00000170935	371	T cell receptor alpha locus at 14q11.2
HGNC:12063	TRAJ33	T cell receptor alpha joining 33	Approved	T cell receptor gene			14q11.2	28722	ENSG00000211856	OTTHUMG00000170934	371	T cell receptor alpha locus at 14q11.2
HGNC:12064	TRAJ34	T cell receptor alpha joining 34	Approved	T cell receptor gene			14q11.2	28721	ENSG00000211855	OTTHUMG00000170933	371	T cell receptor alpha locus at 14q11.2
HGNC:12145	TRAV7	T cell receptor alpha variable 7	Approved	T cell receptor gene			14q11.2	28686	ENSG00000211781	OTTHUMG00000168985	371	T cell receptor alpha locus at 14q11.2
HGNC:12065	TRAJ35	T cell receptor alpha joining 35 (non-functional)	Approved	T cell receptor gene			14q11.2	28720	ENSG00000211854	OTTHUMG00000170932	371	T cell receptor alpha locus at 14q11.2
HGNC:12066	TRAJ36	T cell receptor alpha joining 36	Approved	T cell receptor gene			14q11.2	28719	ENSG00000276699	OTTHUMG00000188544	371	T cell receptor alpha locus at 14q11.2
HGNC:12067	TRAJ37	T cell receptor alpha joining 37	Approved	T cell receptor gene			14q11.2	28718	ENSG00000278661	OTTHUMG00000188542	371	T cell receptor alpha locus at 14q11.2
HGNC:12068	TRAJ38	T cell receptor alpha joining 38	Approved	T cell receptor gene			14q11.2	28717	ENSG00000211851	OTTHUMG00000170929	371	T cell receptor alpha locus at 14q11.2
HGNC:12069	TRAJ39	T cell receptor alpha joining 39	Approved	T cell receptor gene			14q11.2	28716	ENSG00000211850	OTTHUMG00000170928	371	T cell receptor alpha locus at 14q11.2
HGNC:12071	TRAJ40	T cell receptor alpha joining 40	Approved	T cell receptor gene			14q11.2	28715	ENSG00000211849	OTTHUMG00000170927	371	T cell receptor alpha locus at 14q11.2
HGNC:12072	TRAJ41	T cell receptor alpha joining 41	Approved	T cell receptor gene			14q11.2	28714	ENSG00000211848	OTTHUMG00000170926	371	T cell receptor alpha locus at 14q11.2
HGNC:12073	TRAJ42	T cell receptor alpha joining 42	Approved	T cell receptor gene			14q11.2	28713	ENSG00000211847	OTTHUMG00000170925	371	T cell receptor alpha locus at 14q11.2
HGNC:12074	TRAJ43	T cell receptor alpha joining 43	Approved	T cell receptor gene			14q11.2	28712	ENSG00000211846	OTTHUMG00000170924	371	T cell receptor alpha locus at 14q11.2
HGNC:12075	TRAJ44	T cell receptor alpha joining 44	Approved	T cell receptor gene			14q11.2	28711	ENSG00000211845	OTTHUMG00000170923	371	T cell receptor alpha locus at 14q11.2
HGNC:12197	TRBV20OR9-2	T cell receptor beta variable 20/OR9-2 (non-functional)	Approved	T cell receptor gene	TCRBV2O	TRBV20/OR9-2, TCRBV20S2, TCRBV2S2O	9p13.3	6962	ENSG00000205274	OTTHUMG00000019781	373	T cell receptor beta (TRB) orphons
HGNC:12199	TRBV21OR9-2	T cell receptor beta variable 21/OR9-2 (pseudogene)	Approved	T cell receptor pseudogene	TCRBV10O	TRBV21/OR9-2, TCRBV10S2O, TCRBV21S2	9p13.3	6959	ENSG00000183938	OTTHUMG00000019783	373	T cell receptor beta (TRB) orphons
HGNC:18740	TRBV22OR9-2	T cell receptor beta variable 22/OR9-2 (pseudogene)	Approved	T cell receptor pseudogene		TCRBV29S2O, TCRBV22S2, TRBV22/OR9-2	9p13.3	246283	ENSG00000234122	OTTHUMG00000000400	373	T cell receptor beta (TRB) orphons
HGNC:12202	TRBV23OR9-2	T cell receptor beta variable 23/OR9-2 (pseudogene)	Approved	T cell receptor pseudogene		TRBV23/OR9-2, TRBV23OR92, TCRBV19S2O, TCRBV23S2	9p13.3	28552	ENSG00000229063	OTTHUMG00000019774	373	T cell receptor beta (TRB) orphons
HGNC:12204	TRBV24OR9-2	T cell receptor beta variable 24/OR9-2 (pseudogene)	Approved	T cell receptor pseudogene	TCRBV15O	TRBV24/OR9-2, TCRBV15S2O, TCRBV24S2	9p13.3	6961	ENSG00000215206	OTTHUMG00000152869	373	T cell receptor beta (TRB) orphons
HGNC:12206	TRBV25OR9-2	T cell receptor beta variable 25/OR9-2 (pseudogene)	Approved	T cell receptor pseudogene	TCRBV11O	TRBV25/OR9-2, TCRBV11S2O, TCRBV25S2	9p13.3	6960	ENSG00000240215	OTTHUMG00000019791	373	T cell receptor beta (TRB) orphons
HGNC:15485	TRBV26OR9-2	T cell receptor beta variable 26/OR9-2 (pseudogene)	Approved	T cell receptor pseudogene		TRBV26/OR9-2, TCRBV28S2O, TCRBV28S2, TCRBV26S2	9p13.3	246285	ENSG00000231165	OTTHUMG00000000411	373	T cell receptor beta (TRB) orphons
HGNC:12211	TRBV29OR9-2	T cell receptor beta variable 29/OR9-2 (non-functional)	Approved	T cell receptor gene	TCRBV4O	TRBV29/OR9-2, TCRBV29S2, TCRBV4S2O	9p13.3	6958	ENSG00000223394	OTTHUMG00000000415	373	T cell receptor beta (TRB) orphons
HGNC:18741	TRBVAOR9-2	T cell receptor beta variable A/OR9-2 (pseudogene)	Approved	T cell receptor pseudogene		TRBVA/OR9-2, TCRBV33S2	9p21	246286			373	T cell receptor beta (TRB) orphons
HGNC:12155	TRB	T cell receptor beta locus	Approved	gene with protein product	TCRB, TRB@		7q34	6957			372	T cell receptor beta locus at 7q34
HGNC:12219	TRBV5-2	T cell receptor beta variable 5-2 (pseudogene)	Approved	T cell receptor pseudogene		TRBV52, TCRBV31S1, TCRBV5S2P	7q34	28613	ENSG00000242771	OTTHUMG00000158537	372	T cell receptor beta locus at 7q34
HGNC:12220	TRBV5-3	T cell receptor beta variable 5-3 (non-functional)	Approved	T cell receptor gene		TRBV53, TCRBV5S3, TCRBV5S5P	7q34	28612	ENSG00000211715	OTTHUMG00000158510	372	T cell receptor beta locus at 7q34
HGNC:12221	TRBV5-4	T cell receptor beta variable 5-4	Approved	T cell receptor gene		TRBV54, TCRBV5S4, TCRBV5S6A3N2T	7q34	28611	ENSG00000230099	OTTHUMG00000158524	372	T cell receptor beta locus at 7q34
HGNC:12222	TRBV5-5	T cell receptor beta variable 5-5	Approved	T cell receptor gene		TRBV55, TCRBV5S3A2T, TCRBV5S5	7q34	28610	ENSG00000211725	OTTHUMG00000158512	372	T cell receptor beta locus at 7q34
HGNC:12223	TRBV5-6	T cell receptor beta variable 5-6	Approved	T cell receptor gene		TRBV56, TCRBV5S2, TCRBV5S6	7q34	28609	ENSG00000211728	OTTHUMG00000158873	372	T cell receptor beta locus at 7q34
HGNC:12224	TRBV5-7	T cell receptor beta variable 5-7 (non-functional)	Approved	T cell receptor gene		TRBV57, TCRBV5S7, TCRBV5S7P	7q34	28608	ENSG00000211731	OTTHUMG00000158897	372	T cell receptor beta locus at 7q34
HGNC:12225	TRBV5-8	T cell receptor beta variable 5-8	Approved	T cell receptor gene		TRBV58, TCRBV5S4A2T, TCRBV5S8	7q34 alternate reference locus	28607			372	T cell receptor beta locus at 7q34
